season,slot,strongseed,weakseed,team a,team b,Actual winning team,Seasons history 
2015,W11,W11a,W11b,1173,1129,a,
2015,X16,X16a,X16b,1352,1316,a,
2015,Y16,Y16a,Y16b,1214,1264,a,
2015,Z11,Z11a,Z11b,1279,1140,a,
2015,R1W1,W01,W16,1437,1248,a,a
2015,R1W2,W02,W15,1438,1125,a,
2015,R1W3,W03,W14,1328,1107,a,
2015,R1W4,W04,W13,1257,1414,a,
2015,R1W5,W05,W12,1320,1461,a,a=b
2015,R1W6,W06,W11,1344,1173,b,
2015,R1W7,W07,W10,1277,1208,a,
2015,R1W8,W08,W09,1301,1261,a,
2015,R1X1,X01,X16,1181,1352,a,
2015,R1X2,X02,X15,1211,1315,a,
2015,R1X3,X03,X14,1235,1412,a,
2015,R1X4,X04,X13,1207,1186,a,
2015,R1X5,X05,X12,1428,1372,a,
2015,R1X6,X06,X11,1374,1417,b,
2015,R1X7,X07,X10,1234,1172,a,
2015,R1X8,X08,X09,1361,1385,a,
2015,R1Y1,Y01,Y16,1246,1214,a,
2015,R1Y2,Y02,Y15,1242,1308,a,a
2015,R1Y3,Y03,Y14,1323,1318,a,
2015,R1Y4,Y04,Y13,1268,1434,a,
2015,R1Y5,Y05,Y12,1452,1138,a,
2015,R1Y6,Y06,Y11,1139,1400,a,
2015,R1Y7,Y07,Y10,1455,1231,a,
2015,R1Y8,Y08,Y09,1153,1345,a,a
2015,R1Z1,Z01,Z16,1458,1157,a,a
2015,R1Z2,Z02,Z15,1112,1411,a,
2015,R1Z3,Z03,Z14,1124,1209,b,
2015,R1Z4,Z04,Z13,1314,1217,a,
2015,R1Z5,Z05,Z12,1116,1459,a,a
2015,R1Z6,Z06,Z11,1462,1279,a,
2015,R1Z7,Z07,Z10,1433,1326,b,
2015,R1Z8,Z08,Z09,1332,1329,a,
2015,R2W1,R1W1,R1W8,1437,1301,b,b
2015,R2W2,R1W2,R1W7,1438,1277,b,b
2015,R2W3,R1W3,R1W6,1328,1173,a,
2015,R2W4,R1W4,R1W5,1257,1320,a,a
2015,R2X1,R1X1,R1X8,1181,1361,a,
2015,R2X2,R1X2,R1X7,1211,1234,a,
2015,R2X3,R1X3,R1X6,1235,1417,b,
2015,R2X4,R1X4,R1X5,1207,1428,b,
2015,R2Y1,R1Y1,R1Y8,1246,1153,a,
2015,R2Y2,R1Y2,R1Y7,1242,1455,b,
2015,R2Y3,R1Y3,R1Y6,1323,1139,a,b
2015,R2Y4,R1Y4,R1Y5,1268,1452,b,b
2015,R2Z1,R1Z1,R1Z8,1458,1332,a,
2015,R2Z2,R1Z2,R1Z7,1112,1326,a,
2015,R2Z3,R1Z3,R1Z6,1209,1462,b,
2015,R2Z4,R1Z4,R1Z5,1314,1116,a,
2015,R3W1,R2W1,R2W4,1301,1257,b,
2015,R3W2,R2W2,R2W3,1277,1328,a,b/a=2/1
2015,R3X1,R2X1,R2X4,1181,1428,a,
2015,R3X2,R2X2,R2X3,1211,1417,a,
2015,R3Y1,R2Y1,R2Y4,1246,1452,a,a
2015,R3Y2,R2Y2,R2Y3,1455,1323,b,
2015,R3Z1,R2Z1,R2Z4,1458,1314,a,b
2015,R3Z2,R2Z2,R2Z3,1112,1462,a,
2015,R4W1,R3W1,R3W2,1257,1277,b,
2015,R4X1,R3X1,R3X2,1181,1211,a,a
2015,R4Y1,R3Y1,R3Y2,1246,1323,a,a/b=3
2015,R4Z1,R3Z1,R3Z2,1458,1112,a,a
2015,R5WX,R4W1,R4X1,1277,1181,b,b
2015,R5YZ,R4Y1,R4Z1,1246,1458,b,
2015,R6CH,R5WX,R5YZ,1181,1458,a,a=b
